,T,E,E_std,c,c_std,Nspins
0,0.1,-2450.0,0.0,0.0,0.0,2500
1,0.2,-2450.0,0.0,0.0,0.0,2500
2,0.3,-2429.79,9.259908206888445,0.3810928888888888,0.05094648780063016,2500
3,0.4,-2378.38,10.23208678618394,0.26173899999999994,0.03372054765622327,2500
4,0.5,-2248.64,19.33728005692631,0.5982886400000001,0.07587402586110086,2500
5,0.6,-2000.45,36.98820758025455,1.520141666666667,0.22749235430027265,2500
6,0.7,-1808.55,22.938341265226654,0.42952448979591845,0.08101302960704382,2500
7,0.7999999999999999,-1712.27,23.190021561007658,0.33611068750000006,0.05115240523528355,2500
8,0.8999999999999999,-1649.0,19.99599959991998,0.19745185185185188,0.019335276735136065,2500
9,0.9999999999999999,-1600.99,22.204276615102778,0.19721196000000005,0.019871054026618963,2500
10,1.0999999999999999,-1560.68,18.891733641992733,0.11798267768595042,0.017334173306084655,2500
11,1.2,-1526.67,19.861044786214045,0.10957252777777782,0.014204695915539006,2500
12,1.3,-1503.55,17.55128200445768,0.07291065088757395,0.009014361385019808,2500
13,1.4,-1483.87,17.695002119242595,0.06390063265306123,0.009397608505611797,2500
14,1.5,-1466.84,20.189957899906577,0.07246833777777777,0.008936268766834081,2500
15,1.5999999999999999,-1452.24,17.374763307740338,0.047169125000000006,0.005791087879456095,2500
16,1.7,-1438.6,18.894972876402864,0.04941453287197231,0.005704633272147296,2500
17,1.8,-1427.37,19.292825091209426,0.045952234567901235,0.005899427612934214,2500
18,1.9,-1420.19,18.013159078851217,0.03595278670360111,0.005502262079123275,2500
19,2.0,-1409.15,18.86286033453039,0.035580749999999994,0.004900019909544453,2500
