,T,M,M_std,E,E_std,m,m_std,chi_m,chi_m_std,c,c_std,Nspins
0,1.0,2497.94,1.9277966697761462,-4991.96,7.364672429918387,0.9991760000000001,0.0007711186679104585,0.0014865599999999998,0.0002805828145887771,0.02169536,0.0031050158675728196,2500
1,1.1052631578947367,2495.82,2.9945951312322667,-4983.56,11.368658671980615,0.9983280000000001,0.0011978380524929066,0.0032454171428571424,0.0005734029682346446,0.04232013641723358,0.006841058953679702,2500
2,1.2105263157894737,2493.08,3.670640271124371,-4973.4,13.35514881983724,0.997232,0.0014682561084497483,0.004452146086956521,0.0007570876321229441,0.0486865482041588,0.005158833722229715,2500
3,1.3157894736842106,2486.28,6.105866031940105,-4947.88,22.20958351703156,0.9945120000000001,0.002442346412776042,0.011333606399999998,0.0015830775233001656,0.11396408422399999,0.01749681294196259,2500
4,1.4210526315789473,2476.62,7.708151529387575,-4914.04,26.596210256350435,0.990648,0.00308326061175503,0.016724391111111115,0.002468009241698917,0.1401132413717421,0.02096905571933884,2500
5,1.526315789473684,2461.42,9.479641343426449,-4860.6,31.447098435308785,0.984568,0.0037918565373705796,0.02355046068965518,0.0035020439540474294,0.1697979167657551,0.024809521093303633,2500
6,1.631578947368421,2443.16,13.606410253994255,-4801.6,42.786913887309055,0.9772639999999999,0.005442564101597702,0.045387788387096784,0.00513549612217345,0.2750842539021853,0.039527420117475086,2500
7,1.736842105263158,2412.76,18.73345670184763,-4707.32,52.67881547643228,0.9651040000000001,0.007493382680739052,0.08082309818181815,0.009623550192166964,0.36796907019283753,0.03975972062291958,2500
8,1.8421052631578947,2370.96,26.682548603909634,-4588.72,70.6413589903252,0.948384,0.010673019441563854,0.15459668114285713,0.023857050724021653,0.5882327437061224,0.08022127339092101,2500
9,1.9473684210526314,2313.66,33.654782721033875,-4444.88,81.59329384207993,0.925464,0.01346191308841355,0.23265128216216227,0.034315455509726166,0.7022191618991965,0.10157117333997687,2500
10,2.052631578947368,2231.4,50.79566910672602,-4261.24,91.56015727378366,0.89256,0.020318267642690405,0.5028082051282052,0.0687270829720164,0.7958863185798819,0.10457381298142072,2500
11,2.1578947368421053,2118.08,60.401933743879425,-4032.52,103.64192973888511,0.847232,0.02416077349755177,0.6762875941463414,0.11113892819934135,0.9227211197144555,0.12065252016483388,2500
12,2.263157894736842,1716.4,221.31750947451042,-3622.88,126.04136463875659,0.6865600000000001,0.08852700378980416,8.657184744186047,1.5827365246362914,1.2406705552406705,0.17102718141308562,2500
13,2.3684210526315788,663.84,619.9220389694175,-3139.24,147.71507167516793,0.265536,0.24796881558776698,64.90456314311112,6.411496215407854,1.555936198795062,0.23049411255987443,2500
14,2.473684210526316,-81.32,333.7776769048523,-2804.32,102.5041345507585,-0.032527999999999994,0.1335110707619409,18.014835867234037,2.100451306275393,0.6868378874784971,0.08269178812758092,2500
15,2.5789473684210527,125.86,267.5957032539947,-2597.84,107.30207080946761,0.050344,0.10703828130159788,11.106463245714284,1.3765575160723877,0.6924544970262391,0.08499659649746169,2500
16,2.6842105263157894,69.38,293.2558875794312,-2426.04,111.06681952770593,0.027752,0.11730235503177248,12.815539579607844,1.903641667049508,0.6848500826451365,0.09312001555398244,2500
17,2.789473684210526,-125.16,217.01376546200936,-2289.08,96.51504338702854,-0.050064,0.08680550618480375,6.753241612075473,0.9356404340189051,0.47885659659665375,0.0660452597110069,2500
18,2.894736842105263,65.58,181.78411261713714,-2150.84,88.92836667790543,0.026232,0.07271364504685486,4.56628224290909,0.5899606929933411,0.37750477201983484,0.04399514812949009,2500
19,3.0,-18.2,171.47209685543595,-2051.36,95.79765341593708,-0.00728,0.06858883874217438,3.920357333333334,0.5007738299157324,0.4078751288888889,0.05656565575782736,2500
